VIN (1-10),Model Year,Base MSRP,vehicle_id
5YJ3E1EC7P,2023,0.0,93
1C4JJXP6XP,2023,0.0,94
7SAYGAEE4P,2023,0.0,34
7SAYGAEE4P,2023,0.0,95
7SAYGAEE4P,2023,0.0,125
KNDC3DLC8P,2023,0.0,96
7FCTGBAA1P,2023,0.0,97
7SAYGAEEXR,2024,0.0,98
W1KCG4EB9P,2023,0.0,99
1C4JJXP69P,2023,0.0,59
1C4JJXP69P,2023,0.0,100
7SAYGDEEXP,2023,0.0,101
7SAYGDEEXP,2023,0.0,107
7SAYGDEEXP,2023,0.0,439
5YJ3E1EA6P,2023,0.0,102
5YJ3E1EA6P,2023,0.0,424
5YJ3E1EA6P,2023,0.0,665
7SAYGDEE7P,2023,0.0,55
7SAYGDEE7P,2023,0.0,62
7SAYGDEE7P,2023,0.0,103
7SAYGDEE7P,2023,0.0,687
7SAYGDEF7R,2024,0.0,104
7SAYGAEE6R,2024,0.0,105
7SAYGAEE6R,2024,0.0,637
KNDCR3L1XP,2023,0.0,106
KNDCR3L1XP,2023,0.0,405
7SAYGDEEXP,2023,0.0,101
7SAYGDEEXP,2023,0.0,107
7SAYGDEEXP,2023,0.0,439
1C4RJYB63P,2023,0.0,108
JM3KKDHA9R,2024,0.0,109
1N4AZ1BVXP,2023,0.0,110
YSMEG3KA0P,2023,0.0,111
7SAYGDEE0P,2023,0.0,112
7SAYGDEE0P,2023,0.0,341
5YJ3E1EA1P,2023,0.0,113
5YJ3E1EA8P,2023,0.0,114
7SAYGAEE6P,2023,0.0,115
JTMABACA0R,2024,0.0,116
JTMABACA0R,2024,0.0,719
1C4JJXP6XP,2023,0.0,94
7FCTGBAA9P,2023,0.0,117
7FCTGBAA9P,2023,0.0,702
7SAYGDEE5P,2023,0.0,16
7SAYGDEE5P,2023,0.0,40
7SAYGDEE5P,2023,0.0,460
1GYKPMRL4R,2024,0.0,118
7SAYGDEE3R,2024,0.0,119
7SAYGDEE3R,2024,0.0,160
7SAYGDEE3R,2024,0.0,321
1C4JJXP63P,2023,0.0,120
7SAYGDEF8P,2023,0.0,121
7SAYGDEF8P,2023,0.0,583
JTMAB3FV4P,2023,0.0,122
1N4AZ1BV8R,2024,0.0,123
7SAYGAEE3P,2023,0.0,124
7SAYGAEE3P,2023,0.0,722
7SAYGAEE4P,2023,0.0,34
7SAYGAEE4P,2023,0.0,95
7SAYGAEE4P,2023,0.0,125
7SAYGDEEXR,2024,0.0,126
7SAYGDEEXR,2024,0.0,647
WBY33AW07P,2023,0.0,127
7SAYGDEF3P,2023,0.0,128
JM3KKEHA9R,2024,0.0,129
5YJ3E1EA1P,2023,0.0,113
1C4RJXP6XR,2024,0.0,130
4JGDM4EB9P,2023,0.0,131
1C4JJXP66P,2023,0.0,132
3FMTK3SU5P,2023,0.0,133
5YJ3E1EA7R,2024,0.0,134
7SAYGDEE2R,2024,0.0,68
7SAYGDEE2R,2024,0.0,135
7SAYGDEE2R,2024,0.0,344
JN1DF0CD7P,2023,0.0,136
1G1FY6S00P,2023,0.0,137
5YJ3E1EA4P,2023,0.0,138
5YJ3E1EA4P,2023,0.0,427
JN1BF0BA9P,2023,0.0,139
7SAYGDEE3P,2023,0.0,70
7SAYGDEE3P,2023,0.0,351
1V2DNPE88P,2023,0.0,140
7FCTGBAAXR,2024,0.0,141
7SAYGDEE6P,2023,0.0,142
7SAYGDEE6P,2023,0.0,182
7SAYGDEE6P,2023,0.0,367
7SAYGDEF6P,2023,0.0,143
7SAYGDEF6P,2023,0.0,201
1C4RJXP60R,2024,0.0,144
1C4RJYD61P,2023,0.0,145
KM8KN4DE2R,2024,0.0,146
1C4RJXN65R,2024,0.0,72
1C4RJXN65R,2024,0.0,252
1C4RJXN65R,2024,0.0,465
7SAYGDEE3P,2023,0.0,70
7SAYGDEE3P,2023,0.0,351
KNDCS3LF6R,2024,0.0,147
5YJ3E1EA6P,2023,0.0,102
5YJ3E1EA6P,2023,0.0,424
5YJ3E1EA6P,2023,0.0,665
7PDSGABA6R,2024,0.0,148
7PDSGABA6R,2024,0.0,694
KM8KNDDF5R,2024,0.0,149
YV4H60DE9P,2023,0.0,150
5YJ3E1EC1P,2023,0.0,151
1C4JJXR61P,2023,0.0,152
5YJ3E1EA7P,2023,0.0,153
5YJ3E1EA7P,2023,0.0,618
KNDC34LB8R,2024,0.0,154
1V2VMPE89P,2023,0.0,155
1C4RJXP6XR,2024,0.0,130
7SAYGDEE6P,2023,0.0,142
7SAYGDEE6P,2023,0.0,182
7SAYGDEE6P,2023,0.0,367
4JGGM1CB5P,2023,0.0,156
7SAYGDEE2P,2023,0.0,77
7SAYGDEE2P,2023,0.0,183
7SAYGDEE2P,2023,0.0,663
1G1FX6S08P,2023,0.0,157
WBY43AW03R,2024,0.0,158
1V2FMPE86P,2023,0.0,159
